ID,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
1,Low,Medium,Public,Positive,3,No,High School,Near,Male,67
2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61
3,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74
4,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71
5,Medium,High,Public,Neutral,4,No,College,Near,Female,70
6,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71
7,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67
8,High,High,Public,Negative,2,No,High School,Far,Male,66
9,Medium,Low,Private,Neutral,1,No,College,Near,Male,69
10,High,High,Public,Positive,5,No,High School,Moderate,Male,72
11,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68
12,Low,High,Private,Neutral,2,No,High School,Near,Male,71
13,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70
14,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
15,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65
16,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64
17,High,Medium,Private,Positive,3,No,College,Near,Male,60
18,Low,High,Public,Neutral,3,No,High School,Near,Female,65
19,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67
20,Medium,Medium,Private,Positive,4,No,College,Near,Male,66
21,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69
22,Medium,High,Public,Neutral,3,No,High School,Near,Male,72
23,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66
24,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66
25,Low,Medium,Public,Positive,3,No,High School,Near,Female,63
26,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64
27,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65
28,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71
29,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66
30,Low,Medium,Private,Neutral,2,No,College,Near,Male,64
31,High,Low,Public,Positive,4,Yes,High School,Near,Female,63
32,High,Medium,Public,Negative,3,No,College,Near,Male,69
33,Medium,High,Public,Positive,3,No,High School,Near,Male,67
34,Medium,Medium,Public,Neutral,3,No,College,,Female,61
35,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68
36,Low,Medium,Public,Negative,3,No,High School,Near,Male,61
37,Medium,High,Public,Positive,3,No,High School,Far,Female,64
